VALUE        RECURSIVE    ITERATIVE   
5            0.000000     0.000000    
10           0.000000     0.000000    
15           0.000000     0.000000    
20           0.003000     0.000000    
25           0.037000     0.000000    
30           0.410000     0.000000    
35           4.618000     0.000000    
40           52.899000    0.000000    
